Hogar,EXCLUIR,paraValidacion,Sector,DirCoordX,DirCoordY,MontoArr,IngresoHogar,Factor,AnosEstudio,CLASE,Sup_Prom_Constr_Hab_EOD,Calid_EOD_norm_inv,DensConstr_EOD,Dist_est_Metro_MC_KM,Dist_salida_Autop_MC_KM,Tiempo_Com_Stgo,Ingreso_Promedio_Zona_MM,Acc_Comercio_tpte_pub,Acc_Educacion_tpte_pub,Acc_Habitacion_tpte_pub,Acc_Industria_tpte_pub,Acc_Servicios_tpte_pub,Acc_Comercio_auto,Acc_Educacion_auto,Acc_Habitacion_auto,Acc_Industria_auto,Acc_Servicios_auto,CLUSTER7,CLUSTER2
137081,0,0,6,352722.1194,6290919.682,100000,309456,78.46936,15,2,36.4,0.36,0.2,0.45513293,0.504923923,53,0.536635882,2671.25131,1639.55319,27569.9558,1503.75821,2467.01109,6100.71,3686.65,64032.14,5083.39,6063.53,5,1
137091,0,0,6,353368.8704,6289283.173,160000,132827,101.599678,14,2,49.5,0.36,0.354,1.648535392,1.766404578,55,0.819777625,4031.3534,2522.31819,39481.29559,2704.73018,4130.09538,5890.48,3579.54,62180.16,4917.65,5803.85,2,1
137101,1,1,6,353760.7139,6287703.982,250000,754717,115.688866,14,2,49.3,0.36,0.244,1.384117743,2.998656588,58,0.875729625,2205.31431,1394.2239,23560.89681,1191.96367,2252.80305,5346.54,3278.56,57042.04,4424.32,5220.57,2,1
137112,0,0,6,351854.3159,6284609.079,100000,401638,59.329266,17,3,47.9,0.36,0.262,1.152575278,2.166988275,66,0.475666738,2516.08531,1609.37375,27876.56804,1429.55837,2445.38295,5315.83,3318.12,57637.37,4485.97,5137.01,5,1
137121,0,0,6,351299.7205,6287745.297,80000,269893,86.301643,11,1,42.5,0.36,0.375,0.910185994,0.869125795,67,0.679640444,2843.25088,1832.19531,31818.42382,1568.82854,2829.39221,6146.96,3743.58,64619.84,5250.59,6045.88,2,1
137131,0,0,6,354668.463,6286028.187,174525,598123,90.640846,12,2,44.9,0.36,0.334,1.929646206,4.590574304,61,0.626168222,1718.08416,1155.89788,19643.42894,958.09903,1502.78283,5186.25,3218.85,55970.17,4333.11,5014.82,5,1
137141,1,1,6,354982.2761,6285593.854,150000,175787,179.514221,11,1,45.1,0.36,0.181,2.145468863,5.08881951,65,0.4083772,1629.35956,1107.57435,19379.32584,832.87187,1413.4409,4986.48,3108.64,54284.92,4127.83,4818.61,5,1
137151,1,1,6,350998.83,6286789.4,250000,846442,265.895477,7,1,49.3,0.36,0.201,1.286248544,1.117659498,61,0.574702,2039.17027,1412.88879,22779.28728,1238.01826,2038.18005,6021.12,3690.31,63774.06,5138.22,5905.61,5,1
137152,0,0,6,350722.1065,6286895.25,140000,359103,50.428177,10,1,49.3,0.36,0.201,1.00367776,0.882880083,61,0.574702,2039.17027,1412.88879,22779.28728,1238.01826,2038.18005,6021.12,3690.31,63774.06,5138.22,5905.61,5,1
137161,0,0,6,351231.4086,6288456.709,140000,1028269,86.165665,10,1,37.3,0.36,0.237,0.381693553,0.484405392,53,0.55521735,4099.21757,2580.22357,40174.09796,2719.01374,4111.6854,6431.99,3893.21,67346.55,5452.64,6359.59,5,1
137171,0,0,6,356660.8221,6288949.315,500000,464340,20.148127,17,3,93.8,0.36,0.003,4.533472728,4.769720784,66,2.1211015,1806.83465,1156.27765,18240.81707,1201.40901,1782.41232,4779.76,2929.04,51045.95,3968.75,4688.89,7,2
137181,0,0,6,351489.4074,6285794.578,165145,1342511,153.016022,12,2,41.6,0.36,0.252,1.291274675,2.21814725,66,0.630005143,2870.97684,1825.7668,31624.98792,1735.25603,2843.52826,5729.73,3539.16,61213.1,4877.73,5599.47,5,1
137190,0,0,6,351417.871,6285193.252,200000,1273485,244.923721,15,2,26.7,0.36,0.263,1.442280634,2.465090392,76,0.467940203,1826.05017,1310.87624,21898.7923,1211.17251,1661.07209,5564.72,3451.76,59757.27,4731.68,5421.59,5,1
